transaction_id,user_id,amount,timestamp,description
TX00018,CUST_009,394.12,2025-06-15 13:47:00,Paiement normal
TX00032,CUST_020,179.19,2025-06-15 17:53:00,Paiement normal
TX_FREQ_07,FRAUD_FREQ,44.99,2025-06-17 10:18:56,Transaction fréquente suspecte
TX00089,CUST_010,308.44,2025-06-16 11:20:00,Paiement normal
TX_FREQ_12,FRAUD_FREQ,26.49,2025-06-17 10:33:56,Transaction fréquente suspecte
TX00081,CUST_009,152.61,2025-06-16 08:41:00,Paiement normal
TX00024,CUST_019,387.9,2025-06-15 15:35:00,Paiement normal
TX00058,CUST_014,133.74,2025-06-16 01:35:00,Paiement normal
TX00042,CUST_010,62.78,2025-06-15 21:14:00,Paiement normal
TX00086,CUST_003,65.9,2025-06-16 09:40:00,Paiement normal
TX_FREQ_01,FRAUD_FREQ,22.33,2025-06-17 10:00:02,Transaction fréquente suspecte
TX00092,CUST_007,388.18,2025-06-16 12:01:00,Paiement normal
TX00046,CUST_020,160.94,2025-06-15 22:29:00,Paiement normal
TX00079,CUST_019,208.16,2025-06-16 07:40:00,Paiement normal
TX00002,CUST_008,47.36,2025-06-15 09:01:00,Paiement normal
TX00076,CUST_008,152.5,2025-06-16 07:26:00,Paiement normal
TX00010,CUST_012,135.54,2025-06-15 11:33:00,Paiement normal
TX00003,CUST_018,24.65,2025-06-15 08:38:00,Paiement normal
TX00072,CUST_019,390.17,2025-06-16 06:05:00,Paiement normal
TX00016,CUST_004,154.08,2025-06-15 13:10:00,Paiement normal
TX00017,CUST_012,43.7,2025-06-15 13:01:00,Paiement normal
TX00007,CUST_009,15.09,2025-06-15 09:58:00,Paiement normal
TX00022,CUST_002,70.42,2025-06-15 15:09:00,Paiement normal
TX00044,CUST_003,212.66,2025-06-15 21:02:00,Paiement normal
TX00031,CUST_014,241.24,2025-06-15 17:24:00,Paiement normal
TX00084,CUST_004,24.13,2025-06-16 09:26:00,Paiement normal
TX00011,CUST_002,389.34,2025-06-15 11:07:00,Paiement normal
TX00096,CUST_005,317.2,2025-06-16 12:40:00,Paiement normal
TX00035,CUST_004,89.34,2025-06-15 18:41:00,Paiement normal
TX00095,CUST_009,7.54,2025-06-16 13:01:00,Paiement normal
TX00038,CUST_010,312.48,2025-06-15 19:18:00,Paiement normal
TX00028,CUST_014,244.59,2025-06-15 16:20:00,Paiement normal
TX_ROUND_04,CUST_018,999.98,2025-06-17 04:00:00,Montant proche d'un seuil rond
TX_FREQ_15,FRAUD_FREQ,42.09,2025-06-17 10:42:26,Transaction fréquente suspecte
TX00039,CUST_005,137.13,2025-06-15 19:58:00,Paiement normal
TX00070,CUST_018,314.58,2025-06-16 04:51:00,Paiement normal
TX00048,CUST_010,161.25,2025-06-15 22:47:00,Paiement normal
TX00051,CUST_001,246.14,2025-06-15 23:37:00,Paiement normal
TX00060,CUST_004,11.53,2025-06-16 02:03:00,Paiement normal
TX00037,CUST_017,45.08,2025-06-15 18:54:00,Paiement normal
TX00063,CUST_015,70.94,2025-06-16 02:40:00,Paiement normal
TX00012,CUST_013,24.27,2025-06-15 12:11:00,Paiement normal
TX00088,CUST_017,14.18,2025-06-16 10:41:00,Paiement normal
TX00054,CUST_011,23.89,2025-06-16 00:11:00,Paiement normal
TX00053,CUST_002,62.87,2025-06-15 23:38:00,Paiement normal
TX00013,CUST_020,135.27,2025-06-15 12:21:00,Paiement normal
TX00065,CUST_018,17.19,2025-06-16 04:11:00,Paiement normal
TX00100,CUST_019,206.48,2025-06-16 13:50:00,Paiement normal
TX00019,CUST_003,246.95,2025-06-15 13:58:00,Paiement normal
TX00082,CUST_010,177.06,2025-06-16 09:06:00,Paiement normal
TX00068,CUST_013,17.35,2025-06-16 04:22:00,Paiement normal
TX00062,CUST_015,44.22,2025-06-16 02:35:00,Paiement normal
TX00027,CUST_018,207.63,2025-06-15 16:25:00,Paiement normal
TX_FREQ_11,FRAUD_FREQ,42.43,2025-06-17 10:30:51,Transaction fréquente suspecte
TX00057,CUST_016,153.2,2025-06-16 00:54:00,Paiement normal
TX00073,CUST_011,8.0,2025-06-16 06:06:00,Paiement normal
TX00020,CUST_008,44.62,2025-06-15 13:59:00,Paiement normal
TX00094,CUST_002,25.09,2025-06-16 12:47:00,Paiement normal
TX00008,CUST_014,132.28,2025-06-15 10:19:00,Paiement normal
TX00055,CUST_016,67.59,2025-06-16 00:58:00,Paiement normal
TX00064,CUST_015,205.98,2025-06-16 03:35:00,Paiement normal
TX00021,CUST_018,69.05,2025-06-15 14:53:00,Paiement normal
TX_FREQ_05,FRAUD_FREQ,36.68,2025-06-17 10:12:15,Transaction fréquente suspecte
TX00093,CUST_009,209.89,2025-06-16 12:33:00,Paiement normal
TX_FREQ_03,FRAUD_FREQ,11.6,2025-06-17 10:06:55,Transaction fréquente suspecte
TX00071,CUST_007,87.17,2025-06-16 05:03:00,Paiement normal
TX00047,CUST_018,391.65,2025-06-15 22:33:00,Paiement normal
TX_FREQ_09,FRAUD_FREQ,47.2,2025-06-17 10:24:59,Transaction fréquente suspecte
TX00067,CUST_007,160.32,2025-06-16 03:58:00,Paiement normal
TX00001,CUST_004,14.92,2025-06-15 08:15:00,Paiement normal
TX00080,CUST_007,314.56,2025-06-16 07:57:00,Paiement normal
TX00006,CUST_018,153.5,2025-06-15 10:07:00,Paiement normal
TX00033,CUST_001,314.61,2025-06-15 18:19:00,Paiement normal
TX_FREQ_14,FRAUD_FREQ,41.3,2025-06-17 10:39:21,Transaction fréquente suspecte
TX00074,CUST_017,206.57,2025-06-16 06:26:00,Paiement normal
TX00050,CUST_004,64.45,2025-06-15 23:03:00,Paiement normal
TX00091,CUST_018,42.72,2025-06-16 11:38:00,Paiement normal
TX00097,CUST_015,212.06,2025-06-16 13:23:00,Paiement normal
TX00078,CUST_020,22.94,2025-06-16 07:43:00,Paiement normal
TX00098,CUST_001,19.5,2025-06-16 14:02:00,Paiement normal
TX00041,CUST_001,28.04,2025-06-15 20:56:00,Paiement normal
TX_NIGHT_03,CUST_009,360.08,2025-06-17 03:30:00,Transaction nocturne suspecte
TX00056,CUST_019,245.33,2025-06-16 01:20:00,Paiement normal
TX00077,CUST_019,67.99,2025-06-16 06:50:00,Paiement normal
TX_NIGHT_01,CUST_003,718.44,2025-06-16 02:15:00,Transaction nocturne suspecte
TX_FREQ_13,FRAUD_FREQ,39.46,2025-06-17 10:36:11,Transaction fréquente suspecte
TX_NIGHT_02,CUST_006,686.45,2025-06-16 23:45:00,Transaction nocturne suspecte
TX00075,CUST_003,40.69,2025-06-16 06:16:00,Paiement normal
TX00023,CUST_011,153.98,2025-06-15 14:49:00,Paiement normal
TX00034,CUST_018,92.68,2025-06-15 18:15:00,Paiement normal
TX00015,CUST_010,27.3,2025-06-15 13:07:00,Paiement normal
TX_ROUND_05,CUST_005,4999.95,2025-06-17 05:00:00,Montant proche d'un seuil rond
TX_ROUND_01,CUST_007,499.99,2025-06-17 01:00:00,Montant proche d'un seuil rond
TX00069,CUST_015,89.22,2025-06-16 05:10:00,Paiement normal
TX00087,CUST_015,212.04,2025-06-16 10:27:00,Paiement normal
TX_FREQ_08,FRAUD_FREQ,39.98,2025-06-17 10:21:39,Transaction fréquente suspecte
TX00066,CUST_008,44.06,2025-06-16 04:00:00,Paiement normal
TX00083,CUST_003,12.08,2025-06-16 09:12:00,Paiement normal
TX_FREQ_06,FRAUD_FREQ,41.2,2025-06-17 10:15:22,Transaction fréquente suspecte
TX_HIGH_03,SUSPECT_03,99999.99,2025-06-16 17:00:00,Virement suspect montant élevé
TX00099,CUST_005,205.36,2025-06-16 13:47:00,Paiement normal
TX00009,CUST_011,19.68,2025-06-15 10:30:00,Paiement normal
TX00036,CUST_001,393.51,2025-06-15 18:46:00,Paiement normal
TX00043,CUST_019,19.61,2025-06-15 21:07:00,Paiement normal
TX00052,CUST_008,8.21,2025-06-15 23:58:00,Paiement normal
TX00025,CUST_016,160.15,2025-06-15 15:53:00,Paiement normal
TX00085,CUST_009,49.33,2025-06-16 10:08:00,Paiement normal
TX00004,CUST_001,20.94,2025-06-15 09:26:00,Paiement normal
TX_FREQ_10,FRAUD_FREQ,16.5,2025-06-17 10:27:55,Transaction fréquente suspecte
TX00030,CUST_002,20.28,2025-06-15 16:52:00,Paiement normal
TX_HIGH_02,SUSPECT_02,42000.0,2025-06-16 16:00:00,Virement suspect montant élevé
TX_ROUND_03,CUST_003,500.0,2025-06-17 03:00:00,Montant proche d'un seuil rond
TX00040,CUST_017,13.49,2025-06-15 20:13:00,Paiement normal
TX00045,CUST_016,206.65,2025-06-15 21:45:00,Paiement normal
TX00059,CUST_002,313.93,2025-06-16 02:05:00,Paiement normal
TX_ROUND_02,CUST_012,1000.01,2025-06-17 02:00:00,Montant proche d'un seuil rond
TX00026,CUST_015,42.65,2025-06-15 15:45:00,Paiement normal
TX00029,CUST_005,209.94,2025-06-15 17:12:00,Paiement normal
TX00061,CUST_004,64.12,2025-06-16 02:34:00,Paiement normal
TX_FREQ_02,FRAUD_FREQ,47.32,2025-06-17 10:03:57,Transaction fréquente suspecte
TX00005,CUST_020,13.11,2025-06-15 09:57:00,Paiement normal
TX_FREQ_04,FRAUD_FREQ,18.4,2025-06-17 10:09:22,Transaction fréquente suspecte
TX00049,CUST_012,182.9,2025-06-15 22:52:00,Paiement normal
TX00014,CUST_003,14.11,2025-06-15 12:43:00,Paiement normal
TX00090,CUST_005,86.14,2025-06-16 10:48:00,Paiement normal
TX_HIGH_01,SUSPECT_01,18500.0,2025-06-16 15:00:00,Virement suspect montant élevé
